title,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count,embeddings
Massa K-Popers Ikut Aksi Tolak PPN 12 Persen di Depan Istana Presiden,"Menurut Ikrar, berapapun kenaikannnya akan tetap memberatkan masyarakat karena berpengaruh terhadap kenaikan harga. ""Harga pasti naik meskipun hanya satu persen. Pasti akan berpengaruh dengan adanya PPN 12 persen yang cekik. Harapannya pasti maunya dicabut 12 kalo bisa 11 persen atau syukur-syukur turun jadi 10 persen kan bisa aja,"" ucap Ikrar. Seratusan massa mencoba berjalan menuju Kantor Sekretariat Negara untuk menyerahkan petisi warga yang menolak kenaikan PPN 12 persen. Pasukan polisi terlihat tampak berjaga untuk memastikan massa tidak masuk ke dalam Kantor Sekretariat Negara. Kepolisian mengerahkan sebanyak 820 personel gabungan guna mengamankan aksi menolak kenaikan Pajak Pertambahan Nilai (PPN) 12 persen di Istana Negara, Jakarta Pusat. Personel gabungan tersebut dari Polda Metro Jaya, Polres Metro Jakarta Pusat, TNI, Pemda DKI dan instansi terkait. Sebelumnya, pemerintah di bawah kepresidenan Prabowo Subianto resmi menetapkan kenaikan tarif Pajak Pertambahan Nilai (PPN) menjadi 12 persen mulai 1 Januari 2025. Menteri Koordinator Bidang Perekonomian Airlangga Hartarto mengatakan, penetapan PPN 12 persen sesuai dengan Undang-Undang (UU) Nomor 7 Tahun 2021 tentang Harmonisasi Peraturan Perpajakan (HPP).",1230,168,307.5,"[-0.42294776 -0.11432421 -0.57873636 ...  0.8074261   0.380915
  0.6649534 ]"
Massa Geruduk Istana Prabowo: Tolak PPN 12 Persen,"Massa aksi dari koalisi masyarakat sipil menggelar aksidemonstrasimenolak kenaikan Pajak Pertambahan Nilai (PPN) 12 persen pada 2025. PantauanCNNIndonesia.com, sekitar puluhan massa aksi berkumpul di depan taman aspirasi Monas membawa spanduk bernarasi penolakan atas kenaikan PPN. ""PPN naik masyarakat sipil bisa kena PHK pak,"" teriak massa aksi. Wakil Ketua Divisi Advokasi YLBHI Arif Maulana mengatakan massa aksi ini hendak menyampaikan surat ke Sekretariat Negara menyampaikan keberatan atas kenaikan PPN 12 persen. ""Ya kita mau menyerahkan surat ke sekretariat negara ya. Kita akan sampaikan kepada Presiden Prabowo bahwa masyarakat kita semua yang hadir disini menolak ya PPN 12 persen,"" ucap Arif di lokasi. Selain itu, ia menyatakan mereka juga akan menyerahkan petisi dari publik yang diharapkan bisa menjadi pertimbangan pemerintah dalam mengambil keputusan. Menteri Koordinator Bidang Perekonomian Airlangga Hartarto, Menteri Keuangan Sri Mulyani, dan jajaran Kabinet Merah Putih sudah mengumumkan kenaikan PPN dari 11 persen ke 12 persen. Ini diumumkan dalam konferensi pers di Kantor Airlangga pada Senin (16/12). Tarif baru PPN bakal berlaku mulai 1 Januari 2025.",1178,166,294.5,"[-0.48416388  0.01308438  0.10674509 ...  0.5857399   0.15135242
 -0.8638904 ]"
Massa Geruduk Istana Prabowo: Tolak PPN 12 Persen,Pemerintah berdalih kenaikan ini merupakan amanat UU Nomor 7 Tahun 2024 tentang Harmonisasi Peraturan Perpajakan (UU HPP).,122,17,30.5,"[-0.54636437  0.57654816  0.3599973  ...  0.98535436 -0.44775614
 -0.13499394]"
"Apindo soal PPN 12 Persen: Semua Kena, Premium-Mewah Hanya Penamaan","Asosiasi Pengusaha Indonesia (Apindo) bersuara soal kengototan pemerintah menaikkanPPNdari 11 persen menjadi 12 persen mulai 1 Januari 2025 nanti. Komentar salah satunya mereka berikan terhadap pemberlakuan PPN. Ketua Umum Apindo Shinta Kamdani dalam konferensi pers di Kantor Apindo, Jakarta Selatan, Kamis (19/12) mengatakan bahwa pemerintah memang mengatakan PPN tidak berlaku untuk semua, tapi untuk barang premium. Tapi katanya, sejatinya semua produk dan jasa dikenakan PPN 12 persen mulai 2025. ""Sebenarnya itu bukan bahan premium, secara menyeluruh memang kena 12 persen tapi ada beberapa bahan pokok sembako yang tidak terkena. Jadi sebenarnya dasarnya semua barang akan terkena (PPN) 12 persen,"" ujar Shinta. ""Bahwa penamaan itu sebagai barang mewah atau bahan premium itu bisa saja, tapi hampir semua itu terkena 12 persen. Hampir semua jenis barang dan jasa-jasa, kecuali bahan pokok dan sembako,"" imbuhnya lebih lanjut. Shinta mengatakan kengototan itu berpotensi akan membuat semuanya menjadi berat. Pemerintah katanya, memang menggelontorkan sejumlah insentif untuk mengantisipasi dampak itu.",1107,154,276.75,"[ 0.3047732  -0.5428592  -0.34631574 ...  0.7229784   0.30506504
 -0.3692357 ]"
"Apindo soal PPN 12 Persen: Semua Kena, Premium-Mewah Hanya Penamaan","Tapi, insentif tidak akan berdampak banyak. Insentif juga katanya, tidak dinikmati dunia usaha. Salah satunya insentif pembebasan pajak penghasilan (PPh) bagi pekerja sektor padat karya bergaji di bawah Rp10 juta. Ia menilai kebijakan itu tidak memberikan keuntungan bagi pelaku usaha. ""(Stimulus) PPh 21 itu bagus, cuma ini diberikannya memang untuk pekerja. Jadi yang kena manfaat itu adalah pekerja yang gajinya di bawah Rp10 juta. Jadi ini tidak membantu pelaku usahanya, industri padat karya itu enggak kebantu,"" ujarnya. Shinta meminta pemerintah seharusnya juga membebaskan PPh Badan bagi pelaku usaha agar industri padat karya ikut terbantu dari tekanan kenaikan PPN 12 persen. ""Dan kita enggak minta untuk semua sektor. Tapi paling enggak industri padat karya ini bisa terbantu kalau PPh Badannya ini dibantu,"" imbuhnya.",829,122,207.25,"[-0.01206768 -0.28025898 -0.5506067  ...  0.6487227   0.5113034
  0.66203755]"
"Apindo soal PPN 12 Persen: Semua Kena, Premium-Mewah Hanya Penamaan","Selain pembebasan PPh bagi pekerja bergaji Rp4,8 juta hingga Rp10 juta, Shinta juga menilai stimulus diskon 50 persen iuran Jaminan Kecelakaan Kerja (JKK) selama enam bulan untuk sektor padat karya juga minim manfaatnya bagi pelaku usaha. ""Ini 50 persen, tapi yang dilakukan pemerintah sekarang adalah pemberian stimulus untuk hanya kecelakaan kerja. Jadi sangat kecil sekali gitu, lain banget dengan konsep BPJS Ketenagakerjaan. Jadi ini cuma salah satu bagian daripada kecelakaan kerja, ini terlalu kecil dan hampir tidak terasa,"" tutur Shinta. Lebih lanjut, Shinta meyakini tekanan inflasi akan meningkat di awal 2025 didorong oleh sejumlah faktor, termasuk implementasi kenaikan PPN menjadi 12 persen. Namun, Apindo memproyeksikan inflasi di 2025 tetap terjaga di kisaran 2,5 plus minus 1 persen sesuai dengan target Bank Indonesia (BI). ""Tekanan inflasi dipercayakan akan juga meningkat di awal tahun didorong oleh sejumlah faktor seperti kita tahu kenaikan UMP (upah minimum provinsi), implementasi PPN 12 persen, serta permintaan musiman di kuartal I, terkait dengan momentum Ramadan dan Lebaran,"" tuturnya.",1114,161,278.5,"[ 0.00843023 -0.42866015 -0.37900105 ...  0.7583055   0.5726712
  0.9932675 ]"
Bahlil Pastikan PPN 12 Persen Tak Akan Buat Harga BBM Naik,"Menteri ESDMBahlil Lahadaliamemastikan pemberlakuan kenaikan pajak pertambahan nilai (PPN) dari 11 persen menjadi 12 persen tak bakal membuat harga minyak mentah dan bahan bakar minyak (BBM) melonjak. ""PPN (12 persen) untuk minyak gak ada isu,"" kata Bahlil dalam Konferensi Pers di Kantor BPH Migas, Jakarta Selatan, Kamis (19/12). ""Gak ada, gak ada (harga minyak dan harga BBM naik imbas PPN 12 persen),"" tegasnya. Menteri Koordinator Bidang Perekonomian Airlangga Hartarto, Menteri Keuangan Sri Mulyani, dan jajaran Kabinet Merah Putih sudah mengumumkan kenaikan PPN dari 11 persen ke 12 persen. Ini diumumkan dalam konferensi pers di Kantor Airlangga pada Senin (16/12). Tarif baru PPN bakal berlaku mulai 1 Januari 2025. Pemerintah berdalih kenaikan ini merupakan amanat UU Nomor 7 Tahun 2024 tentang Harmonisasi Peraturan Perpajakan (UU HPP). Naiknya pajak tersebut menimbulkan kekhawatiran atas harga minyak mentah. Pada akhirnya, harga BBM yang dijual di SPBU ditakutkan bakal ikut terkerek. Terpisah, PT Pertamina Patra Niaga mengaku masih harus berkoordinasi dengan pemerintah mengenai tarif baru PPN.",1110,161,277.5,"[ 0.19937336 -0.30765587 -0.09903264 ...  0.6371957   0.18287267
 -0.8068484 ]"
Bahlil Pastikan PPN 12 Persen Tak Akan Buat Harga BBM Naik,"Ini terutama untuk PPN bahan bakar non-subsidi. Direktur Utama PT Pertamina Patra Niaga Riva Siahaan menyebut pihaknya juga masih mengkaji dampak kenaikan PPN terhadap harga BBM yang mereka jual. ""Terus terang kami juga masih berkoordinasi. Apakah nanti berdampak ke energi atau tidak,"" kata Riva, dikutip dari CNBC Indonesia. ""Kami serahkan ke pemerintah,"" tegasnya.",367,53,91.75,"[ 0.4399901  -0.01673505 -0.26458848 ...  0.31643447  0.33138365
 -0.8503216 ]"
VIDEO: Bapanas Tegaskan Beras Medium dan Premium Tak Kena PPN 12%,"Badan Pangan Nasional atau Bapanas memastikan beras tidak ikut dipungun Pajak Pertambahan Nilai, atau PPN 12 persen tahun 2025. Diketahui kenaikan PPN 12 persen tersebut akan berlaku mulai 1 januari 2025. Kepala Badan Pangan Nasional Arief Prasetyo Adi memastikan barang barang komoditas strategis tidak terdampak PPN 12 persen tersebut. Arief juga memastikan beras, baik medium maupun premium tidak terdampak kenaikan pajak tersebut. Namun ada kemungkinan beberapa jenis beras khusus akan terdampak",499,71,124.75,"[-0.4718607   0.56567425 -0.04136661 ...  0.9937353  -0.9359844
 -0.85463756]"
Puan Ingatkan Pemerintah Dampak Buruk Kenaikan PPN 12 Persen,"Ketua DPR,Puan Maharanimewanti-wanti pemerintah terkait dampak buruk bagi masyarakat buntut kenaikan pajak pertambahan nilai (PPN) menjadi 12 persen mulai 1 Januari 2025. Puan mengaku memahami tujuan pemerintah bahwa kenaikan PPN dilakukan untuk meningkatkan penerimaan negara dan mengurangi defisit anggaran. Akan tetapi, di sisi lain, kebijakan itu bisa berdampak pada daya beli masyarakat. ""Kami memahami tujuan kenaikan PPN untuk meningkatkan penerimaan negara dan mengurangi defisit angaran. Namun Pemerintah harus memperhatikan dampak yang akan muncul dari kebijakan tersebut,"" kata Puan dalam keterangannya, Kamis (19/12). Menurut Puan, para pakar telah mengungkap bahwa kenaikan PPN akan menyebabkan sejumlah persoalan ekonomi. Hal serupa yang pernah terjadi saat kenaikan PPN di tahun-tahun sebelumnya seperti pada 2022. Dampak salah satunya akan terasa di sektor konsumsi rumah tangga, terutama bagi kelompok masyarakat berpendapatan rendah dan menengah. Kenaikan tarif PPN, menurut dia, diprediksi akan memicu inflasi pada konsumsi harian, seperti pakaian, perlengkapan kebersihan, dan obat-obatan. ""Dampak bisa terjadi kepada masyarakat ketika produsen dan pelaku usaha menaikkan harga produk secara antisipatif sehingga memicu inflasi naik semakin tinggi.",1268,167,317.0,"[-0.1447221  -0.23863281 -0.345135   ...  0.44430777  0.15298721
 -0.72283417]"
Puan Ingatkan Pemerintah Dampak Buruk Kenaikan PPN 12 Persen,"Ini yang harus diantisipasi,"" kata Puan. Berdasarkan simulasi Center of Economics and Law Studies (Celios), Puan mengungkap, kelas menengah diprediksi mengalami penambahan pengeluaran hingga Rp354.293 per bulan atau Rp4,2 juta per tahun buntut kenaikan PPN. Sementara, keluarga miskin diprediksi menanggung kenaikan pengeluaran hingga Rp101.880 per bulan atau Rp1,2 juta per tahun, dan kelompok rentan akan menghadapi penambahan pengeluaran sebesar Rp153.871 per bulan. Walaupun ada insentif dari pemerintah untuk kelompok rentan, Puan meminta pemerintah menyiapkan solusi jangka panjang. ""Dengan dinamika ekonomi yang ada saat ini, banyak masyarakat yang sudah tertekan. Tak sedikit yang lalu akhirnya terjerumus pada pinjaman online (pinjol) dengan bunga tak masuk akal. Kita berharap tak ada lagi tambahan tekanan ekonomi yang dirasakan masyarakat,"" kata Puan.",863,117,215.75,"[-0.16977614 -0.15629186 -0.50887537 ...  0.6226624   0.15174003
  0.24642602]"
Kebijakan Tepi Jurang PPN 12 Persen,"Keputusan pemerintah menaikkan Pajak Pertambahan Nilai (PPN) menjadi 12 persen mulai 1 Januari 2025 menimbulkan gejolak di masyarakat. Kekecewaan warga tak bisa dianggap sebagai kegaduhan biasa. Penolakan terhadap kenaikan PPN datang dari berbagai kelompok masyarakat, mulai dari buruh hingga pengusaha. Kenaikan PPN dinilai kian menekan warga kelas menengah dan bawah. Muhammadiyah menjadi salah satu kelompok yang ikut menolak kenaikan PPN menjadi 12 persen. Ketua PP Muhammadiyah Anwar Abbas mengatakan kesejahteraan warga bisa kian tergerus. ""Kenaikan PPN tersebut sudah jelas akan menambah tergerusnya tingkat kesejahteraan masyarakat, terutama mereka-mereka yang berada di lapis bawah dan menengah,"" kata Anwar, Rabu (18/12). Selain itu, hingga Kamis (19/12) pukul 09.00 WIB, sebanyak 90.153 masyarakat juga telah menandatangani petisi dan mendesak PresidenPrabowo Subiantoagar membatalkan kenaikan PPN 12 persen. Petisi berjudul ""Pemerintah, Segera Batalkan Kenaikan PPN!""itu dimulai pada 19 November 2024 yang diinisiasi oleh Bareng Warga.",1047,139,261.75,"[-0.2200999  -0.3812328  -0.0841041  ...  0.51556444  0.02250242
 -0.9841486 ]"
Kebijakan Tepi Jurang PPN 12 Persen,"Pengamat Politik dari Universitas Padjadjaran (Unpad) Kunto Adi Wibowo menilai gelombang penolakan kenaikan PPN jadi 12 persen belakangan ini bukan sekadar kegaduhan sementara. Menurutnya, gelombang penolakan itu bisa diartikan sebagai bentuk kemarahan atau kekecewaan publik atas keputusan pemerintahan Prabowo dan Gibran Rakabuming Raka. Apalagi, ternyata pengenaan PPN 12 persen itu tak hanya pada barang-bawang mewah seperti yang disampaikan Prabowo. ""Menurut saya, ini bukan kegaduhan biasa, karena Pak Prabowo sendiri sudah mencoba meredam dengan bilang bahwa PPN 12 persen hanya untuk barang mewah,"" kata Kunto kepadaCNNIndonesia.com, Kamis (19/12). ""Tapi ternyata dari pemerintah melalui Menteri Keuangan kemudian mengumumkan bahwa tidak hanya barang mewah yang terkena kenaikan PPN 12 persen,"" imbuhnya. Ia berpendapat kenaikan PPN jadi 12 persen ini dibutuhkan karena beragam program pemerintah yang membutuhkan anggaran besar. Salah satunya, makan bergizi gratis yang jadi program andalan Prabowo-Gibran sejak kampanye Pilpres 2024. ""Kebutuhan anggaran untuk program makan bergizi gratis Pak Prabowo juga sangat besar. Ini tampaknya menjadi alasan kenapa PPN 12 persen akhirnya tetap naik dan tidak hanya untuk barang mewah,"" tuturnya. Hal senada disampaikan pengamat politik dari Universitas Andalas Asrinaldi.",1322,178,330.5,"[-0.71800363  0.62377787 -0.5698879  ...  0.96521056 -0.39598367
 -0.07153051]"
Kebijakan Tepi Jurang PPN 12 Persen,"Ia menilai Prabowo menempuh jalan pintas dengan menaikkan PPN jadi 12 persen. Ia mengatakan pemerintahan Prabowo-Gibran kesulitan membiayai program prioritas mereka di tengah defisit anggaran negara. ""Pemerintah ingin meningkatkan kesejahteraan masyarakat melalui program pembangunan, namun kesulitan dari sisi pembiayaan karena defisit anggaran. Karena itu pilihannya jatuh kepada menaikkan PPN,"" kata Asrinaldi. Menaikkan pajak pada warga memang cara paling mudah. Padahal, menurut dia, pemerintah bisa melakukan diversifikasi dari sektor baru untuk meningkatkan anggaran belanja negara. Asrinaldi menegaskan keputusan Prabowo menaikkan PPN menjadi 12 persen akan sangat berdampak pada tingkat kepuasan masyarakat terhadap pemerintahan. Masyarakat kian terbebani bahkan untuk memenuhi kebutuhan pokok. Menurutnya, pengecualian penerapan kebijakan PPN 12 persen terhadap sejumlah bahan pangan tidak banyak berpengaruh. ""Kebijakan yang dibuat pemerintahan Prabowo ini tentu akan berdampak dengan kepuasan masyarakat,"" kata Asrinaldi. """,1035,129,258.75,"[-0.20880099  0.3496188  -0.3051828  ...  0.708281   -0.17513506
 -0.93094385]"
